road,way_id,seq,lat,lon,average_green
Tamar Close,33127225,1,51.609374,-3.020903,0.1481615
Avon Close,33127237,1,51.609589,-3.021656,0.203655
Plym Walk,33127319,1,51.612666,-3.024831,0.133445
Medlock Close,33127329,1,51.613286,-3.025036,0.1752685
Itchen Close,33127353,1,51.613565,-3.028638,0.0325815
Roding Close,33127370,1,51.606748,-3.034043,0.2882255
Tyne Close,33127390,1,51.606604,-3.03303,0.0658715
Great Oaks Park,33158210,1,51.5955,-3.058912,0.0763085
Bethesda Place,33158485,1,51.593164,-3.053988,0.116744
Wheeler Street,34096431,1,51.595837,-2.993698,0.168535
Wheeler Street,34096433,1,51.595658,-2.99368,0.3554295
Wyndham Street,34096434,1,51.593304,-2.994888,0.2906995
Pugsley Street,34096435,1,51.593363,-2.994726,0.3110145
Nash Close,35486263,1,51.593125,-3.046542,0.1099525
Compton Close,35486264,1,51.592803,-3.045928,0.279243
Godfrey Road,35538220,1,51.58726,-3.002607,0.037379
Corporation Road,35538227,1,51.569896,-2.969545,0.38213
Watts Close,35547255,1,51.592246,-3.044526,0.2087295
Vanbrugh Close,35547256,1,51.593001,-3.045964,0.09264
Telford Close,35547257,1,51.592793,-3.044959,0.0644555
Church Road,35552278,1,51.59225,-2.986409,0.2437365
Victoria Avenue,35552386,1,51.589773,-2.977265,0.0124415
Crown Street,35552554,1,51.591568,-2.977838,0.00087
Summerhill Avenue,35552558,1,51.592626,-2.975226,0.0719455
Albert Avenue,35552584,1,51.593076,-2.976846,0.0681275
Fairoak Avenue,35552622,1,51.592196,-2.977579,0.0065285
Duckpool Road,35552738,1,51.590193,-2.979054,0
Fairoak Terrace,35552816,1,51.590698,-2.97958,0.0235495
St. Julian's Road,35553001,1,51.594611,-2.968159,0.1826585
Beechwood Road,35553013,1,51.59385,-2.961871,0.2727085
Graig Park Road,35553460,1,51.608624,-3.007083,0.0626035
Graig Park Avenue,35553464,1,51.608693,-3.0021,0.257955
Graig Park Villas,35553465,1,51.608435,-3.006172,0.125022
Graig Park Parade,35553466,1,51.608033,-3.004836,0.0434645
Graig Park Lane,35553467,1,51.607749,-3.003901,0.0632605
Graig Park Hill,35553468,1,51.607471,-3.002998,0.0630825
Graig Park Circle,35553470,1,51.608281,-3.006261,0.0555895
Graig Park Circle,35553471,1,51.606924,-3.007249,0.038656
Beatty Road,35590738,1,51.595894,-2.931441,0.112233
Christchurch Hill,35590739,1,51.59893,-2.94332,0.3744595
Cefn Court,35590740,1,51.590937,-3.042195,0.0980395
Cefn Close,35590741,1,51.590468,-3.042787,0.107909
Oakfield Road,35590742,1,51.587751,-3.005329,0.2658555
Ringwood Avenue,35590745,1,51.591122,-2.941032,0.1489515
Llanwern Road,35590746,1,51.597453,-2.936152,0.1860695
Ringland Circle,35590748,1,51.595574,-2.931862,0.193102
Marlow Close,35739391,1,51.591608,-3.044783,0.058594
Holland Close,35739393,1,51.59622,-3.052237,0.078076
Kent Close,35739394,1,51.597431,-3.053057,0.230741
Hensol Close,35739396,1,51.594956,-3.046502,0.1140465
Hensol Close,35739397,1,51.594371,-3.046418,0.1067835
Cantref Close,35739398,1,51.595977,-3.047951,0.1191685
Beacons Close,35739399,1,51.595823,-3.049378,0.01938
Groes Road,35739400,1,51.597635,-3.049353,0.326134
Llyn Berwyn Close,35739401,1,51.595329,-3.047098,0.0654725
Caban Close,35739402,1,51.59552,-3.045768,0.156345
Alwyn Close,35739403,1,51.597322,-3.048331,0.1189525
Groes Close,36392398,1,51.596235,-3.049981,0.267384
Groes Lane,36392399,1,51.596226,-3.051041,0.433867
Sward Close,36392400,1,51.595966,-3.051075,0.0926305
Johnston Close,36392401,1,51.59526,-3.051055,0.076869
Hunter Close,36392402,1,51.595161,-3.049772,0.1168185
Waterside Close,36392406,1,51.595022,-3.054171,0.088951
Delius Close,36392407,1,51.594861,-3.053039,0.0927905
Blaen-Y-Pant Crescent,36393907,1,51.603552,-3.008067,0.0922205
Blaen-Y-Pant Avenue,36393923,1,51.603081,-3.010069,0.0821985
Blaen-Y-Pant Avenue,36393930,1,51.604397,-3.008955,0.1334135
Blaen-Y-Pant Place,36393932,1,51.603461,-3.009873,0.120952
Blaen-Y-Pant Avenue,36393938,1,51.604354,-3.008549,0.359978
Blaen-Y-Pant Avenue,36393939,1,51.604418,-3.008746,0.000112
Tyllwyd Road,36566488,1,51.585294,-3.011727,0.0821095
Ridgeway Rise,36566490,1,51.589171,-3.016392,0.0820265
Caerau Crescent,36566491,1,51.583975,-3.006364,0.3139065
Ridgeway Reach,36566492,1,51.587782,-3.016346,0.0197705
Penllyn Avenue,36566493,1,51.583908,-3.015609,0.185903
Preston Avenue,36566496,1,51.584184,-3.016643,0.2154185
Bryngwyn Road,36566498,1,51.587511,-3.0049,0.4360425
Bryngwyn Road,36566499,1,51.583914,-3.012275,0.0743825
Westfield Road,36566500,1,51.587082,-3.009615,0.4403245
Faulkner Road,36566501,1,51.587779,-3.004431,0.3680745
Llwynderi Road,36566502,1,51.586666,-3.011684,0.235177
Oakfield Gardens,36566503,1,51.586579,-3.009583,0.787339
Gold Tops,36566504,1,51.589814,-3.00229,0.30546
Ivy Road,36566506,1,51.585253,-3.011141,0.000112
Queen's Hill Crescent,36566507,1,51.592392,-3.000094,0.0404345
Ridgeway Villas,36566511,1,51.587598,-3.018153,0.094408
Ridgeway Place,36566512,1,51.587892,-3.018264,0.115365
Ridgeway Hill,36566513,1,51.589664,-3.017366,0.3566455
Ridgeway View,36566514,1,51.588982,-3.01788,0.026611
Woodville Road,36566515,1,51.586269,-3.015325,0.349426
Edward VII Crescent,36566516,1,51.587114,-3.010548,0.000112
Spencer Road,36566517,1,51.584833,-3.007323,0.229573
Ridgeway Walk,36566518,1,51.587305,-3.016517,0.021201
Stanley Road,36566519,1,51.589498,-3.000642,0.153472
Godfrey Road,36566520,1,51.589624,-3.00601,0.1041835
Godfrey Road,36566522,1,51.588387,-3.003308,0.082074
Llanthewy Road,36566523,1,51.583298,-3.009834,0.015967
Manley Road,36566524,1,51.583639,-3.011197,0.072427
Clytha Park Road,36566527,1,51.587531,-3.004497,0.3129785
Caerau Road,36566528,1,51.5828,-3.006554,0.43916
Ridgeway Avenue,36566529,1,51.586335,-3.0166,0.067344
Ridgeway Close,36566530,1,51.58716,-3.018527,0.0738265
Llanthewy Road,36567452,1,51.58494,-3.007328,0.249376
Westville Road,36588338,1,51.585766,-3.014176,0.1077125
Bryngwyn Road,36588340,1,51.584871,-3.01073,0.043248
Gold Tops,36588341,1,51.589464,-3.005127,0.1563025
Central Avenue,36741741,1,51.577168,-2.945894,0.0902025
Seven Stiles Avenue,36741744,1,51.574343,-2.945389,0.1142955
Seven Stiles Avenue,36741745,1,51.574565,-2.946759,0.4169105
St. Mark's Crescent,36825748,1,51.590297,-3.002536,0.11453
Fields Park Crescent,36828277,1,51.588397,-3.011157,0.1883375
Bolton Road,36828278,1,51.584457,-3.01004,0.51423
Cedar Road,36828880,1,51.589548,-2.987911,0.0810755
Bedford Road,36828882,1,51.589992,-2.988496,0.1062355
Harrow Road,36828883,1,51.590534,-2.984761,0.1905725
Marlborough Road,36828884,1,51.590211,-2.984731,0.036221
Rugby Road,36828885,1,51.589272,-2.986081,0
Eton Road,36828886,1,51.589243,-2.983021,0.016305
Kingston Road,36828888,1,51.587781,-2.982889,0.1909545
Cambridge Road,36828889,1,51.587975,-2.983433,0.1993665
Llanwern Street,36828890,1,51.588461,-2.981113,0.009232
Bishton Street,36828891,1,51.586588,-2.982053,0.0326865
Livingstone Place,36828894,1,51.590353,-2.982779,0.017413
Speke Street,36828895,1,51.590032,-2.98058,0.014403
Archibald Street,36829612,1,51.588456,-2.976843,0.0105165
Eveswell Street,36829615,1,51.5881,-2.975075,0.000112
Rothesay Road,36829616,1,51.587331,-2.972248,0
Arundel Road,36829617,1,51.587129,-2.971429,0.014308
Carisbrooke Road,36829618,1,51.586924,-2.970592,0
Windsor Road,36829619,1,51.586519,-2.968923,0.000481
Balmoral Road,36829621,1,51.586919,-2.968685,0.000614
Kenilworth Road,36829626,1,51.586612,-2.964412,0.003535
Warwick Road,36829627,1,51.586604,-2.965296,0.0094715
Blenheim Road,36829631,1,51.588087,-2.967534,0.017058
